QUOTE_ID,REPORTING_SUBJECT_TYPE,PREMIUM_TOTAL,VEHICLE_FUEL_TYPE,LICENCE_TYPE_ABI,INSURED_PERSON_CLAIM_L3Y_AT_FAULT_NOT_WINDSCREEN_NIL_COST_COUNT,LOADED_AT,HAS_NCD_PROTECTION,INSURED_PERSON_AGE
1,taxi,146.25,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-18 11:29:27,FALSE,41
2,taxi,119.94,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-11-13 10:11:11,FALSE,48
3,taxi,372.84,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-03-27 21:13:47,FALSE,41
4,scooter,106.74,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-09-22 22:26:56,null,29
5,scooter,122.47,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-07-18 12:28:12,null,41
6,taxi,235.31,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2023-06-13 09:32:36,FALSE,39
7,taxi,235.31,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2023-06-13 09:32:36,FALSE,39
8,taxi,1959.2,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-08-14 13:05:38,FALSE,40
9,car,1685.4,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-02 12:11:59,TRUE,50
10,taxi,412.77,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-07-11 22:19:04,FALSE,57
11,bvi,477.33,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-09-14 10:41:54,FALSE,38
12,bvi,726.6,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-10-23 15:24:55,FALSE,42
13,scooter,1369.67,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-06-19 09:48:22,null,29
14,taxi,3602,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-07-10 09:44:29,FALSE,25
15,taxi,261.42,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-17 14:10:21,FALSE,25
16,taxi,222.38,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-07 15:59:50,FALSE,39
17,bvi,705.96,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-01-16 15:29:57,TRUE,61
18,scooter,130.5,PETROL,DRIVING_LICENCE_KIND_FULL_EU,null,2024-07-07 09:59:48,null,36
19,scooter,1774.62,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,0,2024-04-23 10:50:54,null,32
20,scooter,1774.62,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,0,2024-04-23 10:50:54,null,32
21,taxi,3180.18,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-03 11:15:12,FALSE,50
22,taxi,3180.18,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-03 11:15:12,FALSE,50
23,taxi,206.86,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2022-10-13 12:49:05,FALSE,35
24,car,1763.55,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-09 11:21:32,FALSE,44
25,car,1763.55,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-09 11:21:32,FALSE,44
26,taxi,338.67,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-08-28 15:07:07,FALSE,34
27,taxi,225.57,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-05-15 16:19:39,FALSE,38
